report_id,date,house,source_pdf,series_id,company_raw,company,company_type,facility_raw,ownership_type,jv_name_raw,jv_partner_raw,capacity_basis,market,application,system_type,geography_raw,geography,parent_geography,geography_level,metric,metric_raw,fy,period,value,unit,raw_value,raw_unit,time_basis,as_of_date,value_type,basis,scope_note,source_owner,source_kind,extraction_method,value_precision,source_page
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,p57_michigan_pouch,LG에너지솔루션,LGES,배터리셀,미시간(파우치),단독,,,총설비,합계,전체,,미시간,미국,북미,국가,생산능력,생산능력,2023,FY,5,GWh,5,GWh,연환산생산능력,,추정,2023년 연말 생산능력 전망,미국 내 연말 CAPA 전망. 0GWh도 가동 전 상태를 나타내는 원문 값으로 보존.,대신증권,증권사추정,표,정확,57
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,p57_michigan_pouch,LG에너지솔루션,LGES,배터리셀,미시간(파우치),단독,,,총설비,합계,전체,,미시간,미국,북미,국가,생산능력,생산능력,2024,FY,5,GWh,5,GWh,연환산생산능력,,추정,2024년 연말 생산능력 전망,미국 내 연말 CAPA 전망. 0GWh도 가동 전 상태를 나타내는 원문 값으로 보존.,대신증권,증권사추정,표,정확,57
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,p57_michigan_pouch,LG에너지솔루션,LGES,배터리셀,미시간(파우치),단독,,,총설비,합계,전체,,미시간,미국,북미,국가,생산능력,생산능력,2025,FY,25,GWh,25,GWh,연환산생산능력,,추정,2025년 연말 생산능력 전망,미국 내 연말 CAPA 전망. 0GWh도 가동 전 상태를 나타내는 원문 값으로 보존.,대신증권,증권사추정,표,정확,57
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,p57_michigan_pouch,LG에너지솔루션,LGES,배터리셀,미시간(파우치),단독,,,총설비,합계,전체,,미시간,미국,북미,국가,생산능력,생산능력,2026,FY,40,GWh,40,GWh,연환산생산능력,,추정,2026년 연말 생산능력 전망,미국 내 연말 CAPA 전망. 0GWh도 가동 전 상태를 나타내는 원문 값으로 보존.,대신증권,증권사추정,표,정확,57
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,p57_ohio_gm_jv1,LG에너지솔루션,LGES,배터리셀,오하이오(GM JV 1),JV,GM JV 1,GM,총설비,합계,전체,,오하이오,미국,북미,국가,생산능력,생산능력,2023,FY,40,GWh,40,GWh,연환산생산능력,,추정,2023년 연말 생산능력 전망,미국 내 연말 CAPA 전망. 0GWh도 가동 전 상태를 나타내는 원문 값으로 보존.,대신증권,증권사추정,표,정확,57
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,p57_ohio_gm_jv1,LG에너지솔루션,LGES,배터리셀,오하이오(GM JV 1),JV,GM JV 1,GM,총설비,합계,전체,,오하이오,미국,북미,국가,생산능력,생산능력,2024,FY,45,GWh,45,GWh,연환산생산능력,,추정,2024년 연말 생산능력 전망,미국 내 연말 CAPA 전망. 0GWh도 가동 전 상태를 나타내는 원문 값으로 보존.,대신증권,증권사추정,표,정확,57
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,p57_ohio_gm_jv1,LG에너지솔루션,LGES,배터리셀,오하이오(GM JV 1),JV,GM JV 1,GM,총설비,합계,전체,,오하이오,미국,북미,국가,생산능력,생산능력,2025,FY,45,GWh,45,GWh,연환산생산능력,,추정,2025년 연말 생산능력 전망,미국 내 연말 CAPA 전망. 0GWh도 가동 전 상태를 나타내는 원문 값으로 보존.,대신증권,증권사추정,표,정확,57
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,p57_ohio_gm_jv1,LG에너지솔루션,LGES,배터리셀,오하이오(GM JV 1),JV,GM JV 1,GM,총설비,합계,전체,,오하이오,미국,북미,국가,생산능력,생산능력,2026,FY,45,GWh,45,GWh,연환산생산능력,,추정,2026년 연말 생산능력 전망,미국 내 연말 CAPA 전망. 0GWh도 가동 전 상태를 나타내는 원문 값으로 보존.,대신증권,증권사추정,표,정확,57
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,p57_tennessee_gm_jv2,LG에너지솔루션,LGES,배터리셀,테네시(GM JV 2),JV,GM JV 2,GM,총설비,합계,전체,,테네시,미국,북미,국가,생산능력,생산능력,2023,FY,10,GWh,10,GWh,연환산생산능력,,추정,2023년 연말 생산능력 전망,미국 내 연말 CAPA 전망. 0GWh도 가동 전 상태를 나타내는 원문 값으로 보존.,대신증권,증권사추정,표,정확,57
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,p57_tennessee_gm_jv2,LG에너지솔루션,LGES,배터리셀,테네시(GM JV 2),JV,GM JV 2,GM,총설비,합계,전체,,테네시,미국,북미,국가,생산능력,생산능력,2024,FY,50,GWh,50,GWh,연환산생산능력,,추정,2024년 연말 생산능력 전망,미국 내 연말 CAPA 전망. 0GWh도 가동 전 상태를 나타내는 원문 값으로 보존.,대신증권,증권사추정,표,정확,57
