report_id,date,house,company,segment,segment_std,fy,period,metric,value,unit,ampc_basis,source_page
2023-05-23_SK증권_산업,2023-05-23,SK증권,LGES,전사,전사,2023,FY,매출,37688,십억원,excl,68
2023-05-23_SK증권_산업,2023-05-23,SK증권,LGES,전사,전사,2023,FY,영업이익,3232,십억원,incl,68
2023-05-23_SK증권_산업,2023-05-23,SK증권,LGES,전사,전사,2024,FY,매출,48438,십억원,excl,68
2023-05-23_SK증권_산업,2023-05-23,SK증권,LGES,전사,전사,2024,FY,영업이익,5111,십억원,incl,68
2023-05-23_SK증권_산업,2023-05-23,SK증권,LGES,전사,전사,2025,FY,매출,63244,십억원,excl,68
2023-05-23_SK증권_산업,2023-05-23,SK증권,LGES,전사,전사,2025,FY,영업이익,7492,십억원,incl,68
2023-05-23_SK증권_산업,2023-05-23,SK증권,LGES,EV,EV,2023,FY,매출,24206.6,십억원,excl,73
2023-05-23_SK증권_산업,2023-05-23,SK증권,LGES,ESS,ESS,2023,FY,매출,2954.4,십억원,excl,73
2023-05-23_SK증권_산업,2023-05-23,SK증권,LGES,전사,전사,2023,FY,AMPC,877.1,십억원,na,73
2023-05-23_SK증권_산업,2023-05-23,SK증권,LGES,전사,전사,2026,FY,매출,74381,십억원,excl,20
2023-05-23_SK증권_산업,2023-05-23,SK증권,LGES,전사,전사,2027,FY,매출,83748,십억원,excl,20
2023-05-23_SK증권_산업,2023-05-23,SK증권,LGES,전사,전사,2028,FY,매출,91031,십억원,excl,20
2023-05-23_SK증권_산업,2023-05-23,SK증권,LGES,전사,전사,2029,FY,매출,94530,십억원,excl,20
2023-05-23_SK증권_산업,2023-05-23,SK증권,LGES,전사,전사,2030,FY,매출,97222,십억원,excl,20
2023-05-23_SK증권_산업,2023-05-23,SK증권,삼성SDI,전사,전사,2023,FY,매출,23957,십억원,excl,80
2023-05-23_SK증권_산업,2023-05-23,SK증권,삼성SDI,전사,전사,2023,FY,영업이익,2062,십억원,excl,80
2023-05-23_SK증권_산업,2023-05-23,SK증권,삼성SDI,전사,전사,2024,FY,매출,25627,십억원,excl,80
2023-05-23_SK증권_산업,2023-05-23,SK증권,삼성SDI,전사,전사,2024,FY,영업이익,2434,십억원,excl,80
2023-05-23_SK증권_산업,2023-05-23,SK증권,삼성SDI,전사,전사,2025,FY,매출,34139,십억원,excl,80
2023-05-23_SK증권_산업,2023-05-23,SK증권,삼성SDI,전사,전사,2025,FY,영업이익,3356,십억원,incl_unknown,80
